,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
93,1,2013-12-01,0.4,0.9,0.5,0.6,39
94,2,2015-09-01,0.826086956521739,0.9,0.5,0.6,39
95,3,2017-12-01,0.75,0.9,0.5,0.6,39
96,1,2013-12-01,0.4,0.9,0.5,0.6,40
97,2,2015-09-01,1.0,0.9,0.5,0.6,40
98,3,2017-12-01,0.75,0.9,0.5,0.6,40
99,1,2013-12-01,0.4,0.9,0.5,0.6,41
100,2,2015-09-01,0.51219512195122,0.9,0.5,0.6,41
101,3,2017-12-01,0.75,0.9,0.5,0.6,41
102,1,2013-12-01,0.4,0.9,0.5,0.6,42
103,2,2015-09-01,0.444444444444444,0.9,0.5,0.6,42
104,3,2017-12-01,0.75,0.9,0.5,0.6,42
105,1,2013-12-01,0.4,0.9,0.5,0.6,43
106,2,2015-09-01,0.0,0.9,0.5,0.6,43
107,3,2017-12-01,0.75,0.9,0.5,0.6,43
108,1,2013-12-01,0.4,0.9,0.5,0.6,46
109,2,2015-09-01,1.0,0.9,0.5,0.6,46
110,3,2017-12-01,0.75,0.9,0.5,0.6,46
111,1,2013-12-01,0.4,0.9,0.5,0.6,47
112,2,2015-09-01,0.75,0.9,0.5,0.6,47
113,3,2017-12-01,0.75,0.9,0.5,0.6,47
114,1,2013-12-01,0.4,0.9,0.5,0.6,49
115,2,2015-09-01,1.0,0.9,0.5,0.6,49
116,3,2017-12-01,0.75,0.9,0.5,0.6,49
117,1,2013-12-01,0.4,0.9,0.5,0.6,50
118,2,2015-09-01,1.0,0.9,0.5,0.6,50
119,3,2017-12-01,0.75,0.9,0.5,0.6,50
120,1,2013-12-01,0.4,0.9,0.5,0.6,52
121,2,2015-09-01,0.25,0.9,0.5,0.6,52
122,3,2017-12-01,0.75,0.9,0.5,0.6,52
123,1,2013-12-01,0.4,0.9,0.5,0.6,54
124,2,2015-09-01,0.0769230769230769,0.9,0.5,0.6,54
125,3,2017-12-01,0.75,0.9,0.5,0.6,54
126,1,2013-12-01,0.4,0.9,0.5,0.6,55
127,2,2015-09-01,0.47058823529411803,0.9,0.5,0.6,55
128,3,2017-12-01,0.75,0.9,0.5,0.6,55
129,1,2013-12-01,0.4,0.9,0.5,0.6,56
130,2,2015-09-01,0.0,0.9,0.5,0.6,56
131,3,2017-12-01,0.75,0.9,0.5,0.6,56
132,1,2013-12-01,0.4,0.9,0.5,0.6,57
133,2,2015-09-01,0.0,0.9,0.5,0.6,57
134,3,2017-12-01,0.75,0.9,0.5,0.6,57
135,1,2013-12-01,0.4,0.9,0.5,0.6,58
136,2,2015-09-01,0.7142857142857142,0.9,0.5,0.6,58
137,3,2017-12-01,0.75,0.9,0.5,0.6,58
138,1,2013-12-01,0.4,0.9,0.5,0.6,59
139,2,2015-09-01,0.625,0.9,0.5,0.6,59
140,3,2017-12-01,0.75,0.9,0.5,0.6,59
141,1,2013-12-01,0.4,0.9,0.5,0.6,60
142,2,2015-09-01,1.0,0.9,0.5,0.6,60
143,3,2017-12-01,0.75,0.9,0.5,0.6,60
144,1,2013-12-01,0.4,0.9,0.5,0.6,61
145,2,2015-09-01,1.0,0.9,0.5,0.6,61
146,3,2017-12-01,0.75,0.9,0.5,0.6,61
147,1,2013-12-01,0.4,0.9,0.5,0.6,62
148,2,2015-09-01,0.916666666666667,0.9,0.5,0.6,62
149,3,2017-12-01,0.75,0.9,0.5,0.6,62
150,1,2013-12-01,0.4,0.9,0.5,0.6,63
151,2,2015-09-01,0.0714285714285714,0.9,0.5,0.6,63
152,3,2017-12-01,0.75,0.9,0.5,0.6,63
153,1,2013-12-01,0.4,0.9,0.5,0.6,64
154,2,2015-09-01,0.0,0.9,0.5,0.6,64
155,3,2017-12-01,0.75,0.9,0.5,0.6,64
156,1,2013-12-01,0.4,0.9,0.5,0.6,66
157,2,2015-09-01,0.6,0.9,0.5,0.6,66
158,3,2017-12-01,0.75,0.9,0.5,0.6,66
159,1,2013-12-01,0.4,0.9,0.5,0.6,67
160,2,2015-09-01,0.5,0.9,0.5,0.6,67
161,3,2017-12-01,0.75,0.9,0.5,0.6,67
162,1,2013-12-01,0.4,0.9,0.5,0.6,70
163,2,2015-09-01,0.0,0.9,0.5,0.6,70
164,3,2017-12-01,0.75,0.9,0.5,0.6,70
165,1,2013-12-01,0.4,0.9,0.5,0.6,73
166,2,2015-09-01,0.2,0.9,0.5,0.6,73
167,3,2017-12-01,0.75,0.9,0.5,0.6,73
168,1,2013-12-01,0.4,0.9,0.5,0.6,74
169,2,2015-09-01,0.46666666666666706,0.9,0.5,0.6,74
170,3,2017-12-01,0.75,0.9,0.5,0.6,74
171,1,2013-12-01,0.4,0.9,0.5,0.6,75
172,2,2015-09-01,0.46153846153846206,0.9,0.5,0.6,75
173,3,2017-12-01,0.75,0.9,0.5,0.6,75
174,1,2013-12-01,0.4,0.9,0.5,0.6,76
175,2,2015-09-01,0.0,0.9,0.5,0.6,76
176,3,2017-12-01,0.75,0.9,0.5,0.6,76
177,1,2013-12-01,0.4,0.9,0.5,0.6,79
178,2,2015-09-01,0.25,0.9,0.5,0.6,79
179,3,2017-12-01,0.75,0.9,0.5,0.6,79
180,1,2013-12-01,0.4,0.9,0.5,0.6,80
181,2,2015-09-01,0.0,0.9,0.5,0.6,80
182,3,2017-12-01,0.75,0.9,0.5,0.6,80
183,1,2013-12-01,0.4,0.9,0.5,0.6,81
184,2,2015-09-01,0.5,0.9,0.5,0.6,81
185,3,2017-12-01,0.75,0.9,0.5,0.6,81
186,1,2013-12-01,0.4,0.9,0.5,0.6,82
187,2,2015-09-01,0.7142857142857142,0.9,0.5,0.6,82
188,3,2017-12-01,0.75,0.9,0.5,0.6,82
189,1,2013-12-01,0.4,0.9,0.5,0.6,83
190,2,2015-09-01,0.6363636363636359,0.9,0.5,0.6,83
191,3,2017-12-01,0.75,0.9,0.5,0.6,83
192,1,2013-12-01,0.4,0.9,0.5,0.6,84
193,2,2015-09-01,0.0,0.9,0.5,0.6,84
194,3,2017-12-01,0.75,0.9,0.5,0.6,84
195,1,2013-12-01,0.4,0.9,0.5,0.6,86
196,2,2015-09-01,0.42857142857142894,0.9,0.5,0.6,86
197,3,2017-12-01,0.75,0.9,0.5,0.6,86
198,1,2013-12-01,0.4,0.9,0.5,0.6,87
199,2,2015-09-01,0.933333333333333,0.9,0.5,0.6,87
200,3,2017-12-01,0.75,0.9,0.5,0.6,87
201,1,2013-12-01,0.4,0.9,0.5,0.6,88
202,2,2015-09-01,0.0,0.9,0.5,0.6,88
203,3,2017-12-01,0.75,0.9,0.5,0.6,88
204,1,2013-12-01,0.4,0.9,0.5,0.6,89
205,2,2015-09-01,1.0,0.9,0.5,0.6,89
206,3,2017-12-01,0.75,0.9,0.5,0.6,89
207,1,2013-12-01,0.4,0.9,0.5,0.6,90
208,2,2015-09-01,0.166666666666667,0.9,0.5,0.6,90
209,3,2017-12-01,0.75,0.9,0.5,0.6,90
210,1,2013-12-01,0.4,0.9,0.5,0.6,92
211,2,2015-09-01,0.1,0.9,0.5,0.6,92
212,3,2017-12-01,0.75,0.9,0.5,0.6,92
213,1,2013-12-01,0.4,0.9,0.5,0.6,93
214,2,2015-09-01,0.0,0.9,0.5,0.6,93
215,3,2017-12-01,0.75,0.9,0.5,0.6,93
216,1,2013-12-01,0.4,0.9,0.5,0.6,94
217,2,2015-09-01,0.833333333333333,0.9,0.5,0.6,94
218,3,2017-12-01,0.75,0.9,0.5,0.6,94
219,1,2013-12-01,0.4,0.9,0.5,0.6,95
220,2,2015-09-01,0.0,0.9,0.5,0.6,95
221,3,2017-12-01,0.75,0.9,0.5,0.6,95
222,1,2013-12-01,0.4,0.9,0.5,0.6,96
223,2,2015-09-01,0.0,0.9,0.5,0.6,96
224,3,2017-12-01,0.75,0.9,0.5,0.6,96
225,1,2013-12-01,0.4,0.9,0.5,0.6,97
226,2,2015-09-01,0.5625,0.9,0.5,0.6,97
227,3,2017-12-01,0.75,0.9,0.5,0.6,97
228,1,2013-12-01,0.4,0.9,0.5,0.6,98
229,2,2015-09-01,0.75,0.9,0.5,0.6,98
230,3,2017-12-01,0.75,0.9,0.5,0.6,98
231,1,2013-12-01,0.4,0.9,0.5,0.6,99
232,2,2015-09-01,0.0714285714285714,0.9,0.5,0.6,99
233,3,2017-12-01,0.75,0.9,0.5,0.6,99
234,1,2013-12-01,0.4,0.9,0.5,0.6,100
235,2,2015-09-01,0.0,0.9,0.5,0.6,100
236,3,2017-12-01,0.75,0.9,0.5,0.6,100
237,1,2013-12-01,0.4,0.9,0.5,0.6,101
238,2,2015-09-01,0.25,0.9,0.5,0.6,101
239,3,2017-12-01,0.75,0.9,0.5,0.6,101
240,1,2013-12-01,0.4,0.9,0.5,0.6,102
241,2,2015-09-01,0.46666666666666706,0.9,0.5,0.6,102
242,3,2017-12-01,0.75,0.9,0.5,0.6,102
243,1,2013-12-01,0.4,0.9,0.5,0.6,103
244,2,2015-09-01,1.0,0.9,0.5,0.6,103
245,3,2017-12-01,0.75,0.9,0.5,0.6,103
246,1,2013-12-01,0.4,0.9,0.5,0.6,104
247,2,2015-09-01,0.4,0.9,0.5,0.6,104
248,3,2017-12-01,0.75,0.9,0.5,0.6,104
249,1,2013-12-01,0.4,0.9,0.5,0.6,105
250,2,2015-09-01,0.0,0.9,0.5,0.6,105
251,3,2017-12-01,0.75,0.9,0.5,0.6,105
252,1,2013-12-01,0.4,0.9,0.5,0.6,106
253,2,2015-09-01,0.0,0.9,0.5,0.6,106
254,3,2017-12-01,0.75,0.9,0.5,0.6,106
255,1,2013-12-01,0.4,0.9,0.5,0.6,107
256,2,2015-09-01,0.7619047619047621,0.9,0.5,0.6,107
257,3,2017-12-01,0.75,0.9,0.5,0.6,107
258,1,2013-12-01,0.4,0.9,0.5,0.6,108
259,2,2015-09-01,1.0,0.9,0.5,0.6,108
260,3,2017-12-01,0.75,0.9,0.5,0.6,108
261,1,2013-12-01,0.4,0.9,0.5,0.6,109
262,2,2015-09-01,1.0,0.9,0.5,0.6,109
263,3,2017-12-01,0.75,0.9,0.5,0.6,109
264,1,2013-12-01,0.4,0.9,0.5,0.6,110
265,2,2015-09-01,0.0,0.9,0.5,0.6,110
266,3,2017-12-01,0.75,0.9,0.5,0.6,110
267,1,2013-12-01,0.4,0.9,0.5,0.6,111
268,2,2015-09-01,0.0,0.9,0.5,0.6,111
269,3,2017-12-01,0.75,0.9,0.5,0.6,111
270,1,2013-12-01,0.4,0.9,0.5,0.6,113
271,2,2015-09-01,0.8,0.9,0.5,0.6,113
272,3,2017-12-01,0.75,0.9,0.5,0.6,113
273,1,2013-12-01,0.4,0.9,0.5,0.6,114
274,2,2015-09-01,1.0,0.9,0.5,0.6,114
275,3,2017-12-01,0.75,0.9,0.5,0.6,114
276,1,2013-12-01,0.4,0.9,0.5,0.6,115
