,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
107,32,2,2015-09-01,1.0,0.9,210,30
108,32,3,2016-09-01,0.857142857,0.9,210,30
109,32,4,2017-12-01,0.86,0.9,210,30
110,33,1,2014-09-01,0.5,0.6,1,90
111,33,2,2015-09-01,1.0,0.9,210,30
112,33,3,2016-09-01,0.5,0.9,210,30
113,33,4,2017-12-01,0.86,0.9,210,30
114,34,1,2014-09-01,0.0,0.6,1,90
115,34,2,2015-09-01,0.0,0.9,210,30
116,34,3,2016-09-01,1.0,0.9,210,30
117,34,4,2017-12-01,0.86,0.9,210,30
118,35,1,2015-09-01,0.0,0.9,210,30
119,35,2,2016-09-01,0.0,0.9,210,30
120,35,3,2017-12-01,0.86,0.9,210,30
121,36,1,2014-09-01,1.0,0.6,1,90
122,36,2,2015-09-01,0.0,0.9,210,30
123,37,1,2016-09-01,0.0,0.9,210,30
124,37,2,2017-09-01,0.67,0.9,210,30
125,38,1,2014-09-01,0.0,0.6,1,90
126,38,2,2015-09-01,1.0,0.9,210,30
127,38,3,2016-09-01,1.0,0.9,210,30
128,38,4,2017-09-01,0.67,0.9,210,30
129,39,1,2014-09-01,0.5,0.6,1,90
130,39,2,2015-09-01,0.75,0.9,210,30
131,39,3,2016-09-01,0.5,0.9,210,30
132,39,4,2017-12-01,0.86,0.9,210,30
133,40,1,2014-09-01,0.0,0.6,1,90
134,40,2,2015-09-01,1.0,0.9,210,30
135,40,3,2016-09-01,1.0,0.9,210,30
136,40,4,2017-12-01,0.86,0.9,210,30
137,41,1,2014-09-01,0.23076923100000002,0.6,1,90
138,41,2,2015-09-01,0.666666667,0.9,210,30
139,41,3,2016-09-01,0.588235294,0.9,210,30
140,41,4,2017-12-01,0.86,0.9,210,30
141,42,1,2014-09-01,0.0,0.6,1,90
142,42,2,2015-09-01,0.857142857,0.9,210,30
143,42,3,2016-09-01,0.666666667,0.9,210,30
144,42,4,2017-12-01,0.86,0.9,210,30
145,43,1,2015-09-01,1.0,0.9,210,30
146,43,2,2016-09-01,1.0,0.9,210,30
147,43,3,2017-12-01,0.86,0.9,210,30
148,44,1,2014-09-01,0.0,0.6,1,90
149,44,2,2015-09-01,0.0,0.9,210,30
150,44,3,2016-09-01,0.0,0.9,210,30
151,44,4,2017-12-01,0.86,0.9,210,30
152,45,1,2014-09-01,0.0,0.6,1,90
153,45,2,2015-09-01,0.0,0.9,210,30
154,46,1,2015-09-01,1.0,0.9,210,30
155,47,1,2014-09-01,0.0,0.6,1,90
156,47,2,2015-09-01,0.4,0.9,210,30
157,47,3,2016-09-01,1.0,0.9,210,30
158,47,4,2017-09-01,0.67,0.9,210,30
159,48,1,2014-09-01,1.0,0.6,1,90
160,48,2,2015-09-01,0.0,0.9,210,30
161,48,3,2016-09-01,0.0,0.9,210,30
162,48,4,2017-09-01,0.67,0.9,210,30
163,49,1,2014-09-01,0.0,0.6,1,90
164,49,2,2015-09-01,1.0,0.9,210,30
165,50,1,2014-09-01,0.0,0.6,1,90
166,50,2,2015-09-01,1.0,0.9,210,30
167,50,3,2016-09-01,0.5,0.9,210,30
168,50,4,2017-12-01,0.86,0.9,210,30
169,51,1,2014-09-01,0.5,0.6,1,90
170,51,2,2015-09-01,0.0,0.9,210,30
171,52,1,2015-09-01,0.5,0.9,210,30
172,52,2,2016-09-01,0.5,0.9,210,30
173,52,3,2017-12-01,0.86,0.9,210,30
174,53,1,2016-09-01,1.0,0.9,210,30
175,53,2,2017-09-01,0.67,0.9,210,30
176,54,1,2014-09-01,1.0,0.6,1,90
177,54,2,2015-09-01,1.0,0.9,210,30
178,54,3,2016-09-01,1.0,0.9,210,30
179,54,4,2017-12-01,0.86,0.9,210,30
180,55,1,2014-09-01,0.5,0.6,1,90
181,55,2,2015-09-01,0.833333333,0.9,210,30
182,55,3,2016-09-01,0.333333333,0.9,210,30
183,55,4,2017-12-01,0.86,0.9,210,30
184,56,1,2014-09-01,1.0,0.6,1,90
185,56,2,2015-09-01,1.0,0.9,210,30
186,56,3,2016-09-01,0.0,0.9,210,30
187,56,4,2017-12-01,0.86,0.9,210,30
188,57,1,2014-09-01,0.0,0.6,1,90
189,57,2,2015-09-01,0.4,0.9,210,30
190,57,3,2016-09-01,0.25,0.9,210,30
191,57,4,2017-12-01,0.86,0.9,210,30
192,58,1,2014-09-01,0.571428571,0.6,1,90
193,58,2,2015-09-01,1.0,0.9,210,30
194,58,3,2016-09-01,0.5,0.9,210,30
195,58,4,2017-12-01,0.86,0.9,210,30
196,59,1,2014-09-01,0.6,0.6,1,90
197,59,2,2015-09-01,0.5555555560000001,0.9,210,30
198,59,3,2016-09-01,0.5,0.9,210,30
199,59,4,2017-12-01,0.86,0.9,210,30
200,60,1,2014-09-01,0.25,0.6,1,90
201,60,2,2015-09-01,1.0,0.9,210,30
202,60,3,2016-09-01,0.4,0.9,210,30
203,60,4,2017-12-01,0.86,0.9,210,30
204,61,1,2014-09-01,0.0,0.6,1,90
205,61,2,2015-09-01,1.0,0.9,210,30
206,61,3,2016-09-01,0.0,0.9,210,30
207,61,4,2017-12-01,0.86,0.9,210,30
208,62,1,2014-09-01,0.5,0.6,1,90
209,62,2,2015-09-01,1.0,0.9,210,30
210,62,3,2016-09-01,1.0,0.9,210,30
211,62,4,2017-12-01,0.86,0.9,210,30
212,63,1,2014-09-01,1.0,0.6,1,90
213,63,2,2015-09-01,1.0,0.9,210,30
214,63,3,2016-09-01,1.0,0.9,210,30
215,63,4,2017-12-01,0.86,0.9,210,30
216,64,1,2014-09-01,0.0,0.6,1,90
217,64,2,2015-09-01,1.0,0.9,210,30
218,64,3,2016-09-01,0.75,0.9,210,30
219,64,4,2017-12-01,0.86,0.9,210,30
220,66,1,2014-09-01,0.666666667,0.6,1,90
221,66,2,2015-09-01,1.0,0.9,210,30
222,66,3,2016-09-01,0.5,0.9,210,30
223,66,4,2017-09-01,0.67,0.9,210,30
224,67,1,2014-09-01,0.28571428600000004,0.6,1,90
225,67,2,2015-09-01,1.0,0.9,210,30
226,67,3,2016-09-01,1.0,0.9,210,30
227,67,4,2017-09-01,0.67,0.9,210,30
228,68,1,2015-09-01,1.0,0.9,210,30
229,68,2,2016-09-01,0.0,0.9,210,30
230,68,3,2017-12-01,0.86,0.9,210,30
231,69,1,2014-09-01,0.0,0.6,1,90
232,70,1,2015-09-01,0.0,0.9,210,30
233,71,1,2014-09-01,0.0,0.6,1,90
234,71,2,2015-09-01,1.0,0.9,210,30
235,71,3,2016-09-01,0.0,0.9,210,30
236,71,4,2017-12-01,0.86,0.9,210,30
237,73,1,2014-09-01,0.166666667,0.6,1,90
238,73,2,2015-09-01,1.0,0.9,210,30
239,73,3,2016-09-01,0.7142857140000001,0.9,210,30
240,73,4,2017-09-01,0.67,0.9,210,30
241,74,1,2014-09-01,0.0,0.6,1,90
242,74,2,2015-09-01,0.875,0.9,210,30
243,74,3,2016-09-01,0.666666667,0.9,210,30
244,74,4,2017-09-01,0.67,0.9,210,30
245,75,1,2014-09-01,0.333333333,0.6,1,90
246,75,2,2015-09-01,0.666666667,0.9,210,30
247,75,3,2016-09-01,0.5,0.9,210,30
248,75,4,2017-09-01,0.67,0.9,210,30
249,76,1,2014-09-01,0.0,0.6,1,90
250,76,2,2015-09-01,1.0,0.9,210,30
251,76,3,2016-09-01,0.0,0.9,210,30
252,76,4,2017-09-01,0.67,0.9,210,30
253,77,1,2016-09-01,0.0,0.9,210,30
254,77,2,2017-12-01,0.86,0.9,210,30
255,78,1,2014-09-01,0.0,0.6,1,90
256,78,2,2015-09-01,0.5,0.9,210,30
257,79,1,2015-09-01,0.5,0.9,210,30
258,80,1,2015-09-01,1.0,0.9,210,30
259,80,2,2016-09-01,1.0,0.9,210,30
260,80,3,2017-09-01,0.67,0.9,210,30
261,81,1,2014-09-01,0.5,0.6,1,90
262,81,2,2015-09-01,1.0,0.9,210,30
263,81,3,2016-09-01,0.666666667,0.9,210,30
264,81,4,2017-09-01,0.67,0.9,210,30
